apps/frappe/frappe/core/doctype/doctype/doctype.py +152,DocType can only be renamed by Administrator,
DocType: DocType,DocType is a Table / Form in the application.,
DocType: Workflow,DocType on which this Workflow is applicable.,
DocType: Property Setter,DocType or Field,
apps/frappe/frappe/core/doctype/doctype/doctype.py +242,"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores",
DocType: Version,Doclist JSON,
DocType: Version,Docname,
DocType: DocType,Document,
DocType: DocShare,Document Name,
,Document Share Report,
DocType: Workflow,Document States,
apps/frappe/frappe/public/js/frappe/model/model.js +27,Document Status,
apps/frappe/frappe/public/js/frappe/form/workflow.js +115,Document Status transition from ,
apps/frappe/frappe/public/js/frappe/form/workflow.js +118,Document Status transition from {0} to {1} is not allowed,
DocType: DocShare,Document Type,
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +47,Document Types,
apps/frappe/frappe/public/js/frappe/form/workflow.js +36,Document is only editable by users of role,
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +37,Documentation,
apps/frappe/frappe/desk/moduleview.py +61,Documents,
apps/frappe/frappe/config/desk.py +14,Documents assigned to you and by you.,
apps/frappe/frappe/desk/page/applications/applications.js +46,Domains,
apps/frappe/frappe/public/js/frappe/form/grid_form.html +7,Done,
apps/frappe/frappe/core/doctype/file/file.js +3,Download,
,Download Backups,
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +21,Download Blank Template,
apps/frappe/frappe/utils/backups.py +158,Download link for your backup will be emailed on the following email address: {0},
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +30,Download with Data,
apps/frappe/frappe/desk/page/applications/applications.py +91,Downloading App {0},
apps/frappe/frappe/public/js/frappe/model/indicator.js +30,Draft,
apps/frappe/frappe/config/setup.py +150,Drag and Drop tool to build and customize Print Formats.,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_layout.html +3,Drag elements from the sidebar to add. Drag them back to trash.,
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +622,Drag to sort columns,
DocType: Dropbox Backup,Dropbox Access Allowed,
DocType: Dropbox Backup,Dropbox Access Key,
DocType: Dropbox Backup,Dropbox Access Secret,
DocType: Dropbox Backup,Dropbox Backup,
DocType: ToDo,Due Date,
apps/frappe/frappe/public/js/frappe/form/toolbar.js +126,Duplicate,
apps/frappe/frappe/model/base_document.py +287,Duplicate name {0} {1},
DocType: DocField,Dynamic Link,
DocType: System Settings,EMail,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_start.html +8,Edit,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder.js +561,Edit Custom HTML,
apps/frappe/frappe/public/js/frappe/ui/filters/filters.js +355,Edit Filter,
apps/frappe/frappe/core/doctype/file/file_list.js +81,Edit Folder,
DocType: Print Format,Edit Format,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_field.html +14,Edit HTML,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder.js +463,Edit Heading,
apps/frappe/frappe/core/doctype/role/role.js +9,Edit Permissions,
apps/frappe/frappe/templates/pages/me.html +21,Edit Profile,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder.js +160,Edit Properties,
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +14,Edit Role Permissions,
apps/frappe/frappe/public/js/frappe/form/toolbar.js +80,Edit Title,
apps/frappe/frappe/public/js/frappe/form/control.js +1390,Edit as {0},
apps/frappe/frappe/print/page/print_format_builder/print_format_builder.js +556,Edit to add content,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_layout.html +12,Edit to set heading,
apps/frappe/frappe/public/js/frappe/form/grid.js +271,Edit via Upload,
apps/frappe/frappe/public/js/frappe/form/grid_form.html +4,Editing Row,
DocType: Communication,Email,
DocType: Communication,Email Account,
